TC,CA,Category
1,,Reserved
,0,No category information
2,1,Surface emergency vehicle
2,3,Surface service vehicle
2,4,Ground obstruction
2,5,Ground obstruction
2,6,Ground obstruction
2,7,Ground obstruction
3,1,"Glider, sailplane"
3,2,Lighter-than-air
3,3,"Parachutist, skydiver"
3,4,"Ultralight, hang-glider, paraglider"
3,5,Reserved
3,6,Unmanned aerial vehicle
3,7,Space or transatmospheric vehicle
4,1,Light (less than 7000 kg)
4,2,Medium 1 (between 7000 kg and 34000 kg)
4,3,Medium 2 (between 34000 kg to 136000 kg)
4,4,High vortex aircraft
4,5,Heavy (larger than 136000 kg)
4,6,High performance (>5 g acceleration) and high speed (>400 kt)
4,7,Rotorcraft
